timestamp_ms,tag_id,pose_x,pose_y,pose_z,rel_x,rel_y,rel_z,imu_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1751480439328,REL,null,null,null,-0.0013959449907926663,0.09227690309346778,0.001721581668464811,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439426,0,-0.0849308857271441,0.04361101694539286,1.0754750025267168,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439426,1,-0.08364807635885303,-0.0487218587599266,1.0752228950545837,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439426,REL,null,null,null,-0.001282809368291074,0.09233287570531945,0.0002521074721331118,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439524,0,-0.08495730071562917,0.04360286877766615,1.0758489076499949,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439524,1,-0.08362018703087869,-0.04869000891663902,1.0743673233657922,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439525,REL,null,null,null,-0.0013371136847504794,0.09229287769430516,0.0014815842842026417,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439619,0,-0.08491190060219427,0.043602677747356614,1.075240214173261,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439619,1,-0.08358894604883439,-0.04869305065775082,1.0744322767076764,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439619,REL,null,null,null,-0.001322954553359873,0.09229572840510744,0.0008079374655847182,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439718,0,-0.08489508148751496,0.043592268102138974,1.0747236375455795,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439718,1,-0.08370385512847794,-0.04873545400169332,1.0757758962374349,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439718,REL,null,null,null,-0.001191226359037012,0.09232772210383229,-0.0010522586918553234,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439815,0,-0.0849861096405581,0.043639984040348766,1.0764034957626323,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439815,1,-0.08354198146295576,-0.048634685266163644,1.0733534811914398,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439815,REL,null,null,null,-0.0014441281776023385,0.0922746693065124,0.003050014571192472,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439909,0,-0.08491430900707266,0.04361456904553811,1.0758041967639584,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439909,1,-0.08360743986688832,-0.04869140339883285,1.0745969130734632,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439909,REL,null,null,null,-0.0013068691401843385,0.09230597244437096,0.0012072836904952755,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439999,0,-0.08491681489335273,0.04359447548734697,1.0755246877920233,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439999,1,-0.08359652260949976,-0.04868730107915428,1.074484886876089,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439999,REL,null,null,null,-0.0013202922838529696,0.09228177656650124,0.0010398009159342525,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440092,0,-0.08486393280910384,0.043560314268659715,1.0746552180379714,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440092,1,-0.08355915706550696,-0.0486598528449882,1.0737784783731328,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440092,REL,null,null,null,-0.0013047757435968865,0.09222016711364792,0.0008767396648385883,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440188,0,-0.08483328593963692,0.043555775653041355,1.0744236332796653,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440188,1,-0.08361082628237482,-0.04870528082728408,1.0746997568817869,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440188,REL,null,null,null,-0.001222459657262101,0.09226105648032543,-0.0002761236021215918,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440284,0,-0.08488401770999221,0.043584922829301764,1.0751051653932473,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440284,1,-0.0835950020459783,-0.04869485247980195,1.0744878992593159,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440284,REL,null,null,null,-0.0012890156640139039,0.09227977530910372,0.0006172661339314267,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440379,0,-0.08481806971382523,0.043549214995116915,1.0740002467067553,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440379,1,-0.0835625885306776,-0.04867950096325215,1.0737048979719412,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440379,REL,null,null,null,-0.0012554811831476248,0.09222871595836907,0.00029534873481407153,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440474,0,-0.08489778908364577,0.04359635823751176,1.0755636342199824,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440474,1,-0.08346983443282367,-0.048655653298981624,1.0734384161631774,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440474,REL,null,null,null,-0.0014279546508220997,0.09225201153649339,0.0021252180568049894,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480440568,0,-0.08490792088806405,0.043609810421818954,1.0752136804443204,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
